"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_TERJESKILL_STRENGTH_MOD0hattkforce,Strong attack damage:,Strong attack damage:,Poškození silným útokem:,Schaden durch schwere Angriffe:,Урон от тяжелых атак:,Obrażenia od silnych ataków:,Erős támadások sebzése:,Danni da attacco pesante:,Daño de ataque fuerte:,Dégâts des attaques puissantes :,強力攻擊傷害：,速攻のダメージ：,Dano de ataque forte:,强力攻击伤害：,
STR_TERJESKILL_METABLSM_NAME,"METABOLISM","METABOLISM","METABOLISMUS","STOFFWECHSEL","МЕТАБОЛИЗМ","METABOLIZM","ANYAGCSERE","METABOLISMO","METABOLISMO","MÉTABOLISME","代謝","代謝","METABOLISMO","代谢",
STR_TERJESKILL_METABLSM_DESC,"Increases the efficiency of nutrient and hydration extraction from consumed goods, as well as providing resistance to foodborne pathogens.","Increases the efficiency of nutrient and hydration extraction from consumed goods, as well as providing resistance to foodborne pathogens.","Zvyšuje účinnost extrakce živin a hydratace z konzumovaného zboží a poskytuje odolnost vůči potravinovým patogenům.","Erhöht die Effizienz der Nährstoff- und Hydratationsextraktion aus konsumierten Gütern und bietet Resistenz gegen lebensmittelbedingte Krankheitserreger.","Повышает эффективность извлечения питательных веществ и гидратации из потребляемых продуктов, а также обеспечивает устойчивость к пищевым патогенам.","Zwiększa efektywność pozyskiwania składników odżywczych i nawodnienia z konsumowanych produktów oraz zapewnia odporność na patogeny przenoszone przez żywność.","Növeli a tápanyag- és hidratáció-kinyerés hatékonyságát az elfogyasztott élelmiszerekből, valamint ellenállást biztosít az élelmiszer eredetű kórokozókkal szemben.","Aumenta l'efficienza dell'estrazione di nutrienti e idratazione dai beni consumati e fornisce resistenza ai patogeni di origine alimentare.","Aumenta la eficiencia de la extracción de nutrientes e hidratación de los bienes consumidos y proporciona resistencia a los patógenos de origen alimentario.","Augmente l'efficacité de l'extraction des nutriments et de l'hydratation des produits consommés et offre une résistance aux agents pathogènes d'origine alimentaire.","提高從消耗品中提取營養與水分的效率，並提供對食源性病原體的抵抗力。","消費された物品からの栄養素と水分の抽出効率を高め、食品由来の病原体に対する抵抗力を提供します。","Aumenta a eficiência da extração de nutrientes e hidratação dos bens consumidos e fornece resistência a patógenos de origem alimentar.","提高从消耗品中提取营养与水分的效率，并提供对食源性病原体的抵抗力。",
STR_TERJESKILL_METABLSM_MOD0energconsmod,Metabolic rate:,Metabolic rate:,Metabolický poměr:,Stoffwechselrate:,Скорость метаболизма:,Tempo metabolizmu:,Anyagcsere-sebesség:,Tasso metabolico:,Ritmo metabólico:,Taux métabolique :,代谢率：,代謝率：,Taxa metabólica:,代謝率：,
STR_PLAYZ_PERK_MET_INCREASED_CALORIE_NAME,Caloric Efficiency,Caloric Efficiency,Kalorická účinnost,Kalorieneffizienz,Калорийная эффективность,Efektywność kaloryczna,Kalória-hatékonyság,Efficienza calorica,Eficiencia calórica,Efficacité calorique,熱量效率,カロリー効率,Eficiência calórica,热量效率,
STR_PLAYZ_PERK_MET_INCREASED_CALORIE_DESC,Genetic metabolic optimization that progressively increases the nutritional energy extracted from all consumed food at maximum rank.,Genetic metabolic optimization that progressively increases the nutritional energy extracted from all consumed food at maximum rank.,"Genetická metabolická optimalizace, která tělu umožňuje extrahovat více nutriční energie ze všech zkonzumovaných potravin.","Genetische Stoffwechseloptimierung, die es dem Körper ermöglicht, mehr Nährstoffenergie aus allen konsumierten Lebensmitteln zu gewinnen.","Генетическая метаболическая оптимизация, позволяющая организму извлекать больше питательной энергии из всех потребляемых продуктов.","Genetyczna optymalizacja metaboliczna, która pozwala organizmowi na pozyskiwanie więcej energii odżywczej ze wszystkich spożywanych pokarmów.","Genetikai metabolikus optimalizálás, amely lehetővé teszi a szervezet számára, hogy több tápanyag-energiát nyerjen ki minden elfogyasztott élelmiszerből.",Ottimizzazione metabolica genetica che permette al corpo di estrarre più energia nutrizionale da tutti gli alimenti consumati.,Optimización metabólica genética que permite al cuerpo extraer más energía nutricional de todos los alimentos consumidos.,Optimisation métabolique génétique permettant au corps d'extraire de l'énergie nutritionnelle supplémentaire de tous les aliments consommés.,基因代謝優化，容許身體從所有攝取的食物中額外提取營養能量。,すべての摂取食物から多くの栄養エネルギーを抽出することを可能にする、遺伝的な代謝最適化。,Otimização metabólica genética que permite ao corpo extrair mais energia nutricional de todos os alimentos consumidos.,基因代谢优化，允许身体从所有摄入的食物中额外提取营养能量。,
STR_PLAYZ_PERK_MET_INCREASED_HYDRATION_NAME,Aqueous Absorption,Aqueous Absorption,Absorpce vody,Wasseraufnahme,Водное поглощение,Wchłanianie wody,Vizes felszívódás,Assorbimento acquoso,Absorción acuosa,Absorption aqueuse,水分吸收,水分吸収,Absorção aquosa,水分吸收,
STR_PLAYZ_PERK_MET_INCREASED_HYDRATION_DESC,Enhanced cellular osmosis that progressively increases the hydration yield from all liquids and water-rich foods at maximum rank.,Enhanced cellular osmosis that progressively increases the hydration yield from all liquids and water-rich foods at maximum rank.,"Zvýšená buněčná osmóza, která zvyšuje výtěžnost hydratace ze všech tekutin a potravin bohatých na vodu.","Verbesserte zelluläre Osmose, die die Hydratationsausbeute aus allen Flüssigkeiten und wasserreichen Lebensmitteln erhöht.","Улучшенный клеточный осмос, повышающий выход гидратации из всех жидкостей и богатых водой продуктов.","Zwiększona osmoza komórkowa, która zwiększa wydajność nawadniania ze wszystkich płynów i pokarmów bogatych w wodę.","Fokozott sejtes ozmózis, amely növeli a hidratációs hozamot minden folyadékból és vízben gazdag ételből.",Osmosi cellulare potenziata che aumenta la resa di idratazione di tutti i liquidi e dei cibi ricchi d'acqua.,Ósmosis celular mejorada que aumenta el rendimiento de hidratación de todos los líquidos y alimentos ricos en agua.,Osmose cellulaire améliorée augmentant le rendement en hydratation de tous les liquides et aliments riches en eau.,增強的細胞滲透作用，將所有液體與富含水分的食物的水分攝取率提高。,すべての液体および水分豊富な食物からの水分補給効率を向上させる、強化された細胞浸透。,Osmose celular aprimorada que aumenta o rendimento da hidratação de todos os líquidos e alimentos ricos em água.,增强的细胞渗透作用，将所有液体与富含水分的食物的水分摄入率提高。,
STR_PLAYZ_PERK_MET_WILD_MEAT_LOVER_NAME,Apex Digestion,Apex Digestion,Vrcholové trávení,Apex-Verdauung,Апекс-пищеварение,Trawienie drapieżnika,Apex emésztés,Digestione Apex,Digestión de depredador,Digestion Apex,頂級消化,頂点消化,Digestão Apex,顶级消化,
STR_PLAYZ_PERK_MET_WILD_MEAT_LOVER_DESC,Enzymes that help against Salmonella and Lyssavirus. Cooking meat thoroughly is still the safest approach.,Enzymes that help against Salmonella and Lyssavirus. Cooking meat thoroughly is still the safest approach.,Enzymy pomáhající proti Salmonelle a Lyssaviru. Nejbezpečnější zůstává maso řádně tepelně upravit.,Enzyme helfen gegen Salmonellen und Lyssavirus. Am sichersten bleibt voll durchgebratenes Fleisch.,Ферменты снижают риск сальмонеллы и лиссавируса; надёжнее всего — тщательно приготовленное мясо.,Enzymy wspierają zwalczanie Salmonelli i Lyssavirus. Nadal najbezpieczniejsze jest dokładnie ugotowane mięso.,Enzimek a Salmonella és Lyssavirus ellen. A legbiztosabb a jól átsült hús.,Enzimi che aiutano contro Salmonella e Lyssavirus. La carne ben cotta resta la scelta più sicura.,Enzimas frente a Salmonella y Lyssavirus. Lo más seguro sigue siendo la carne bien cocida.,Enzymes utiles contre la salmonelle et le lyssavirus. La viande bien cuite reste l’option la plus sûre.,有助對抗沙門氏菌與狂犬病毒；徹底煮熟肉類仍是最穩妥的做法。,サルモネラとリッサウイルス（狂犬病）に対する助け。最も安全なのは肉を十分に加熱すること。,Enzimas contra Salmonella e Lyssavirus. Carne bem cozida continua sendo o mais seguro.,有助于对抗沙门氏菌与狂犬病毒；彻底煮熟肉类仍是最稳妥的做法。,
STR_PLAYZ_PERK_MET_RESIST_WATER_NAME,Thirst Resistance,Thirst Resistance,Odolnost vůči žízni,Wasserbeständigkeit,Стойкость к жажде,Odporność na pragnienie,Szomjúság ellenállás,Resistenza alla sete,Resistencia a la sed,Résistance à la soif,抗渴,渇きへの抵抗,Resistência à sede,抗渴,
STR_PLAYZ_PERK_MET_RESIST_WATER_DESC,Dehydration conditioning that reduces health loss when water is low. Each rank slows the starvation damage taken from thirst.,Dehydration conditioning that reduces health loss when water is low. Each rank slows the starvation damage taken from thirst.,Kondice proti dehydrataci snižuje ztrátu zdraví při nízké hladině vody. Každá úroveň zpomaluje poškození zdraví žízní.,Dehydratationskonditionierung reduziert Gesundheitsverlust bei niedrigem Wasserstand. Jede Stufe verlangsamt den Durst-Gesundheitsschaden.,Подготовка к обезвоживанию снижает потерю здоровья при низком уровне воды. Каждый ранг замедляет урон здоровью от жажды.,Kondycjonowanie odwodnienia zmniejsza utratę zdrowia przy niskim poziomie wody. Każdy poziom spowalnia obrażenia od pragnienia.,Dehidratációs kondicionálás csökkenti az életerő-vesztést alacsony vízszinten. Minden fokozat lassítja a szomjúság okozta sebzést.,Condizionamento alla disidratazione che riduce la perdita di salute con acqua bassa. Ogni grado rallenta i danni da sete.,Acondicionamiento contra deshidratación que reduce la pérdida de salud con poca agua. Cada rango ralentiza el daño por sed.,Conditionnement à la déshydratation réduisant la perte de santé quand l'eau est basse. Chaque rang ralentit les dégâts de soif.,脫水適應訓練可在水分偏低時減少生命值損失。每升一級都減緩口渴造成的生命傷害。,脱水への適応で水分が低い時の体力減少を抑える。各ランクで渇きによる体力ダメージが遅くなる。,Condicionamento à desidratação que reduz perda de saúde com água baixa. Cada nível desacelera dano de sede.,脱水适应训练可在水分偏低时减少生命值损失。每升一级都减缓口渴造成的生命伤害。,
